36,1,1,16,4,1,1042,3,2,4,1,2,1,2,2743,1,1,16,3,3,80,0,18,1,3,17,13,15,14
37,1,2,2,3,5,656,4,1,3,2,3,3,3,9602,4,2,11,3,3,80,1,17,3,2,3,0,1,0
26,1,1,2,2,2,1018,4,1,4,2,1,4,3,5472,1,1,12,3,2,80,0,8,2,3,8,7,1,3
38,1,2,7,2,2,382,1,2,4,2,3,1,1,5605,1,2,24,4,3,80,1,8,3,3,8,0,7,7
32,1,2,4,4,2,291,4,1,1,3,3,4,3,10400,1,1,11,3,3,80,0,14,2,2,14,8,9,8
45,1,1,28,2,4,1719,4,2,2,4,7,2,2,16704,1,1,11,3,3,80,0,21,2,3,21,6,8,6
48,1,1,1,3,1,1263,4,1,2,5,7,4,2,18265,6,1,12,3,3,80,0,25,3,4,1,0,0,0
29,1,2,10,1,5,463,4,2,2,2,3,2,1,8268,1,2,14,3,1,80,2,7,2,3,7,7,1,7
32,1,1,5,2,1,21,1,1,4,1,4,2,1,3298,0,2,12,3,4,80,2,7,5,2,6,2,0,5
32,3,1,1,4,4,1574,4,1,3,2,4,1,3,4087,4,1,14,3,2,80,1,9,3,2,6,5,1,2
31,1,1,7,2,2,524,2,2,3,2,1,1,3,4306,1,1,12,3,2,80,1,13,5,1,13,10,3,12
35,1,2,7,4,1,1962,3,2,3,2,3,4,3,5204,1,2,11,3,4,80,0,10,2,3,10,8,0,9
30,1,1,20,3,3,1084,3,1,3,2,1,1,3,9957,0,1,15,3,3,80,1,7,1,2,6,2,0,2
34,1,1,8,2,2,757,2,2,3,2,5,3,2,6142,3,1,11,3,4,80,0,10,2,3,5,1,4,3
45,1,1,6,4,3,101,4,1,3,3,7,1,3,13245,4,2,14,3,2,80,0,17,3,4,0,0,0,0
31,3,1,9,2,2,991,3,1,2,1,4,1,2,2321,0,2,22,4,1,80,0,4,0,3,3,2,1,2
53,3,1,1,4,2,1775,1,2,2,4,1,3,3,12965,4,2,20,4,4,80,3,27,2,2,3,2,0,2
50,1,2,1,4,2,323,4,2,3,5,8,4,1,19517,3,1,11,3,3,80,1,32,3,2,7,0,0,6
60,1,1,1,4,2,1697,3,1,1,3,5,4,1,10883,3,1,20,4,3,80,1,19,2,4,1,0,0,0
45,1,1,1,3,3,336,3,1,4,5,8,4,3,19202,0,1,11,3,3,80,1,25,2,3,24,0,1,7
28,1,1,27,3,2,1622,2,2,1,2,1,1,1,4877,0,1,21,4,2,80,1,6,5,2,5,3,0,0
28,1,1,9,3,2,930,3,2,3,1,4,3,1,2377,5,1,18,3,2,80,1,6,2,3,2,2,2,2
44,1,1,7,3,2,1608,2,2,3,5,7,4,1,19049,0,2,14,3,4,80,1,23,4,2,22,7,1,10
33,1,2,2,4,2,1670,4,1,3,2,3,4,1,5505,1,1,14,3,3,80,2,6,5,3,6,2,0,4
24,1,1,29,1,2,1725,2,1,3,1,2,1,1,3907,1,1,13,3,2,80,3,6,2,4,6,2,1,2
28,2,1,2,2,2,1504,3,1,2,1,2,1,2,2561,7,1,11,3,3,80,0,8,2,2,0,0,0,0
31,1,1,1,2,1,530,4,1,2,1,2,1,3,2218,1,1,12,3,3,80,1,4,3,3,4,2,3,2
39,1,1,12,3,2,1654,4,1,3,2,1,2,3,5295,4,1,21,4,3,80,0,7,3,3,5,4,1,0
47,1,2,14,4,5,728,4,1,3,2,3,1,2,4960,2,1,12,3,4,80,0,20,2,3,7,7,1,7
34,1,2,24,4,2,1489,1,2,2,2,3,2,2,4599,0,2,23,4,3,80,0,16,2,4,15,9,10,10
31,3,1,3,2,2,1948,3,1,3,1,4,1,1,3065,1,2,13,3,4,80,1,4,3,4,4,2,2,3
38,2,1,1,3,1,1668,4,1,3,2,4,4,3,4735,7,1,15,3,4,80,2,19,4,4,13,11,2,9
43,1,1,7,3,1,451,3,2,3,3,5,1,3,9985,8,1,16,3,1,80,1,10,1,2,1,0,0,0
50,1,2,3,2,5,47,1,1,2,1,6,3,3,2683,1,2,14,3,3,80,0,3,2,3,3,2,0,2
28,1,1,1,3,4,1301,4,1,3,1,4,1,2,2080,2,1,11,3,2,80,0,5,2,2,3,2,1,2
30,1,1,2,3,2,833,3,2,2,2,1,4,2,6877,5,2,24,4,2,80,0,12,4,2,0,0,0,0
36,1,2,2,4,1,1710,3,2,3,2,6,4,2,4502,3,1,15,3,3,80,0,17,2,2,13,7,6,7
38,2,1,7,3,1,1382,4,1,4,1,4,3,1,2610,1,1,11,3,4,80,3,4,2,3,4,2,0,3
42,1,1,6,3,2,1911,3,1,3,3,7,1,3,13348,9,1,13,3,2,80,1,18,3,4,13,7,5,7
20,2,1,6,3,1,137,4,2,2,1,2,4,2,2926,1,2,18,3,2,80,0,1,5,3,1,0,1,0
50,2,1,1,3,1,141,1,2,3,5,7,2,3,18172,3,2,19,3,1,80,0,28,1,2,8,3,0,7
36,1,2,1,2,1,857,2,1,3,2,3,4,3,6201,1,2,14,3,4,80,1,18,1,2,18,14,4,11
47,1,2,2,2,5,903,3,2,3,2,3,4,3,4537,0,2,22,4,1,80,1,8,2,3,7,6,7,7
30,3,1,9,3,2,239,3,1,3,2,2,1,1,3072,1,1,11,3,3,80,2,12,4,3,12,9,6,10
40,1,2,1,2,2,453,2,1,1,2,3,4,3,7457,2,2,22,4,3,80,3,6,2,2,4,3,0,2
43,2,1,10,4,1,448,3,2,2,2,2,3,1,5257,1,1,11,3,2,80,1,9,3,4,9,7,0,0
18,2,2,5,3,5,614,2,1,3,1,6,2,2,1878,1,2,14,3,4,80,0,0,3,3,0,0,0,0
29,1,1,7,3,4,1299,2,2,3,1,2,3,1,3339,3,2,13,3,1,80,2,10,2,3,7,7,7,7
33,1,1,2,3,1,242,3,1,3,1,4,4,2,2500,0,1,14,3,1,80,0,4,2,4,3,1,0,2
45,3,2,2,4,1,1845,3,2,3,2,3,3,3,5154,4,1,22,4,2,80,2,10,3,4,8,7,5,7
24,3,1,4,1,1,888,1,1,2,1,2,4,3,3162,0,1,17,3,4,80,0,6,2,2,5,2,3,4
37,2,2,4,4,5,311,1,1,3,1,6,4,1,2793,4,1,17,3,3,80,1,13,2,3,9,8,5,8
53,1,2,7,2,5,862,1,2,2,3,3,4,3,10934,7,2,18,3,4,80,1,35,3,3,5,2,0,4
44,1,2,1,5,5,68,2,2,3,2,3,1,1,5454,5,2,21,4,3,80,1,9,2,2,4,3,1,3
28,2,2,1,3,4,1486,1,1,3,1,6,3,3,2909,3,1,15,3,4,80,1,5,3,4,3,2,1,2
31,1,1,8,4,1,98,3,2,3,2,1,4,2,4424,1,1,23,4,4,80,0,11,2,3,11,7,1,8
25,1,2,26,1,2,781,3,2,3,2,3,4,2,6180,1,1,23,4,2,80,0,6,5,2,6,5,1,4
46,1,2,1,4,1,1602,4,1,4,4,8,1,2,17567,1,1,15,3,2,80,0,27,5,1,26,0,0,12
18,3,1,5,2,1,1012,2,1,3,1,4,4,2,1051,1,1,15,3,4,80,0,0,2,3,0,0,0,0
37,1,1,5,2,2,460,4,1,3,2,1,4,1,6347,7,1,16,3,3,80,2,8,2,2,6,2,0,4
36,1,3,8,3,1,878,1,1,2,1,3,1,3,2342,0,1,21,4,3,80,0,6,3,3,5,4,0,3
58,1,1,23,4,1,1308,1,1,3,1,4,3,1,2372,1,1,12,3,4,80,2,2,3,3,2,2,2,2
34,1,1,6,4,3,138,1,2,3,2,4,3,2,4809,1,1,14,3,3,80,0,16,3,3,16,13,2,10
18,2,2,3,2,2,1624,2,2,3,1,6,4,2,1569,1,2,12,3,3,80,0,0,2,4,0,0,0,0
27,1,2,2,3,1,437,4,1,3,2,3,3,2,4478,1,2,11,3,1,80,0,5,3,3,5,4,0,4
34,1,1,8,3,2,2068,2,1,4,2,2,3,3,4404,2,1,12,3,1,80,0,6,3,4,4,3,1,2
45,3,1,4,2,1,972,3,1,3,2,2,2,3,4447,1,1,12,3,2,80,0,9,5,2,9,7,0,8
31,1,2,10,2,2,1912,3,2,3,2,3,4,1,6583,2,2,11,3,4,80,1,8,2,3,5,2,1,4
45,1,1,1,4,4,1553,1,1,3,3,5,2,1,7441,1,1,12,3,1,80,3,10,4,3,10,8,7,7
20,1,2,9,1,1,1680,4,1,3,1,6,1,2,2728,1,1,11,3,1,80,0,2,3,3,2,2,0,2
38,1,1,10,3,2,2015,2,2,1,3,7,3,3,13206,3,1,12,3,1,80,1,20,3,3,18,16,1,11
27,2,2,20,3,1,293,4,2,3,2,3,3,2,9981,1,1,14,3,4,80,0,7,2,3,7,7,0,7
34,2,1,22,4,3,1932,3,1,2,2,4,4,3,5747,1,2,15,3,2,80,0,16,3,3,15,10,6,11
26,2,1,5,2,2,848,3,2,2,1,4,3,3,2366,1,2,14,3,1,80,1,8,2,3,8,7,1,7
49,1,1,7,3,3,499,2,1,2,3,5,3,2,10965,8,1,24,4,3,80,0,26,2,3,5,2,0,0
30,1,2,4,2,2,121,3,2,2,2,3,2,1,5209,1,2,12,3,2,80,3,11,4,2,11,8,2,7
57,1,1,1,2,1,1483,2,1,4,2,4,3,3,4900,0,1,24,4,1,80,1,13,2,2,12,9,2,8
55,1,1,22,3,4,1694,1,1,2,1,4,2,1,3537,5,1,12,3,4,80,1,8,1,3,4,2,1,2
23,1,1,10,3,4,1592,4,1,4,1,4,3,3,2073,2,1,16,3,4,80,1,4,2,3,2,2,2,2
36,2,1,3,3,4,1257,3,1,3,1,4,2,3,3692,1,1,12,3,3,80,0,12,2,2,11,10,0,7
34,1,1,19,2,2,18,2,1,3,1,2,4,1,2661,0,1,11,3,3,80,1,3,2,3,2,2,1,2
55,1,2,18,5,1,597,1,2,3,4,8,2,2,16835,3,1,23,4,4,80,0,37,2,3,10,9,7,7
21,1,2,7,1,5,1780,2,1,3,1,6,2,2,2679,1,1,13,3,2,80,0,1,3,3,1,0,1,0
38,1,2,1,4,1,1995,4,1,3,2,3,2,3,4440,0,1,15,3,1,80,2,16,3,3,15,13,5,8
31,1,1,20,3,1,1881,2,1,3,2,2,3,1,4197,1,1,11,3,1,80,1,10,2,3,10,8,0,2
22,1,1,1,2,1,2007,4,1,3,1,4,3,2,3375,0,1,12,3,4,80,0,4,2,4,3,2,1,2
37,1,1,1,3,4,623,2,2,3,3,1,4,2,7491,4,1,17,3,4,80,0,12,3,4,6,5,1,2
38,3,3,2,3,3,1805,1,1,3,1,3,2,1,2592,5,1,13,3,4,80,3,13,3,3,11,10,3,8
46,1,1,7,2,2,1007,4,1,3,3,1,3,1,10845,6,1,13,3,2,80,1,13,3,3,8,7,0,7
33,2,2,5,1,1,1395,2,1,3,2,3,4,3,9998,6,1,13,3,1,80,0,8,2,4,5,4,1,2
38,3,1,6,3,2,107,2,2,1,2,4,4,1,5329,7,2,12,3,4,80,3,17,3,3,13,11,1,9
35,1,1,11,4,2,2003,4,1,3,1,2,3,3,2660,7,2,11,3,3,80,1,5,3,3,2,2,2,2
52,2,1,28,2,2,1401,4,2,4,4,1,3,3,13247,2,2,11,3,2,80,1,24,3,2,5,3,0,2
25,2,1,2,1,1,1653,4,1,4,2,1,3,1,5206,1,1,17,3,3,80,2,7,6,3,7,7,0,7
34,1,1,8,5,1,775,2,2,3,2,1,1,1,5121,3,1,14,3,3,80,1,7,3,3,0,0,0,0
35,1,1,14,4,3,1010,3,1,2,1,2,2,1,3743,1,2,24,4,4,80,1,5,2,1,4,2,0,2
27,2,3,22,3,3,1944,1,2,2,1,3,2,3,2863,1,1,12,3,1,80,0,1,2,3,1,0,0,0
39,1,1,6,3,1,1525,2,2,3,3,1,2,2,8376,4,1,18,3,4,80,0,9,3,3,2,0,2,2
33,3,1,1,2,2,1994,2,1,2,1,2,3,1,2008,1,1,12,3,3,80,3,1,2,2,1,1,0,0
31,1,2,7,4,1,941,2,1,2,1,6,3,3,2329,3,1,15,3,2,80,0,13,2,4,7,7,5,2
48,2,2,7,2,2,1691,4,2,3,1,6,3,3,2655,2,2,11,3,3,80,2,19,3,3,9,7,7,7
18,3,1,8,1,2,1156,3,1,3,1,2,3,2,1904,1,1,12,3,4,80,0,0,0,3,0,0,0,0
32,3,2,2,1,1,1190,3,2,3,1,6,1,1,2827,1,1,12,3,3,80,3,1,3,3,1,0,0,0
19,1,2,21,3,3,959,4,1,2,1,6,2,2,2121,1,2,13,3,2,80,0,1,3,4,1,0,0,0
43,1,3,2,3,1,1778,2,1,3,1,3,4,2,3539,0,1,13,3,2,80,0,10,5,3,9,7,1,8
34,1,1,29,3,2,1377,2,1,3,2,2,3,3,5429,4,1,13,3,1,80,2,10,1,3,8,7,7,7
30,1,2,12,3,4,533,2,2,3,2,3,3,2,6577,0,1,11,3,2,80,0,6,6,3,5,4,4,4
20,1,2,2,3,2,922,3,2,2,1,6,3,2,2044,1,1,13,3,4,80,0,2,3,2,2,2,0,2
52,1,2,5,3,1,1319,2,1,3,3,3,2,2,8446,9,2,19,3,3,80,0,10,2,2,8,7,7,7
29,1,1,25,5,4,565,3,2,2,1,4,2,3,2546,5,1,16,3,2,80,0,6,2,4,2,2,1,1
24,1,1,1,3,2,45,2,1,3,1,4,4,3,2293,2,2,16,3,1,80,1,6,2,2,2,0,2,0
34,1,1,6,4,1,151,3,2,2,2,4,2,1,4505,6,1,15,3,3,80,1,12,3,3,1,0,0,0
34,1,1,5,3,2,153,3,2,2,3,8,1,2,11631,2,1,12,3,4,80,0,14,6,3,11,10,5,8
29,1,1,7,3,1,1883,4,1,3,1,2,1,2,2062,3,1,14,3,2,80,0,11,2,3,3,2,1,2
59,1,2,3,3,1,1254,3,2,2,2,3,4,2,5171,5,1,17,3,4,80,0,13,2,3,6,1,0,5
48,1,2,7,3,5,1466,3,1,3,2,3,1,1,5486,4,1,11,3,1,80,3,15,3,3,2,2,2,2
39,1,2,4,4,1,182,4,2,2,2,3,3,3,5902,4,1,14,3,3,80,1,17,1,4,15,11,5,9
47,1,2,2,4,1,1676,2,2,4,4,8,2,1,15972,6,1,14,3,3,80,3,29,2,3,3,2,1,2
24,2,1,2,1,4,1646,1,2,3,1,4,4,2,3760,1,2,13,3,3,80,0,6,2,3,6,3,1,3
36,3,2,8,4,1,789,1,1,2,3,3,1,2,7587,1,1,15,3,2,80,0,10,1,3,10,7,0,9
42,1,1,1,4,1,517,2,2,3,1,2,1,1,2576,3,1,16,3,2,80,1,8,5,3,5,2,1,2
49,2,1,8,1,1,2,3,1,2,2,4,2,3,5130,1,1,23,4,4,80,1,10,3,3,10,7,1,7
28,1,2,5,3,2,1469,4,1,3,2,3,1,2,8463,0,1,18,3,4,80,0,6,4,3,5,4,1,3
55,1,1,2,3,2,1770,3,1,2,5,7,1,3,19038,8,1,12,3,2,80,3,34,2,3,1,0,0,0
41,1,2,2,4,1,410,4,1,3,4,8,2,2,16015,1,1,19,3,2,80,0,22,2,3,22,10,0,4
53,1,1,3,4,2,386,3,1,3,4,7,3,3,17584,3,2,16,3,4,80,3,21,5,2,5,3,1,3
36,2,1,6,4,1,1594,1,1,4,2,2,1,3,5562,3,2,13,3,4,80,1,9,3,3,3,2,0,2
50,1,1,9,3,1,1030,1,1,3,1,2,4,3,2380,4,1,18,3,2,80,0,8,5,3,1,0,0,0
37,1,2,1,4,1,970,1,1,2,3,3,3,3,10609,5,1,11,3,3,80,0,17,2,1,14,1,11,7
58,2,1,2,1,1,918,4,1,2,1,2,4,1,2380,9,2,14,3,4,80,1,3,3,2,1,0,0,0
42,1,3,10,3,3,1408,3,2,3,4,8,1,3,16799,0,1,14,3,3,80,1,21,5,3,20,7,0,9
46,2,1,1,3,2,124,3,1,2,3,5,1,3,10673,2,2,13,3,3,80,1,21,5,2,10,9,9,5
35,1,2,17,4,1,1218,3,1,3,2,3,1,3,8966,3,2,15,3,4,80,3,15,2,3,7,7,1,7
41,1,1,28,4,1,2034,1,2,2,4,1,2,3,13570,0,1,23,4,3,80,1,21,3,3,20,7,0,10
40,1,2,2,4,1,558,3,2,3,5,8,3,3,18041,0,1,14,3,4,80,0,21,2,3,20,15,1,12
31,1,1,7,4,1,76,4,1,3,2,2,4,1,5915,3,1,22,4,4,80,1,10,3,2,7,7,1,7
32,1,2,8,2,4,436,3,2,2,2,3,2,3,5228,1,2,11,3,4,80,0,13,2,3,13,12,11,9
29,2,1,14,1,3,1421,3,2,3,3,5,4,2,7553,0,2,12,3,1,80,0,9,1,3,8,7,7,7
29,2,1,2,1,1,1590,1,1,3,2,5,4,1,8853,1,1,19,3,4,80,1,6,0,4,6,4,1,3
36,1,1,2,4,2,958,3,1,3,1,2,3,2,2519,4,1,21,4,3,80,0,16,6,3,11,8,3,9
59,1,1,18,4,2,1283,4,1,3,3,1,4,2,10512,6,1,12,3,4,80,0,25,6,2,9,7,5,4
29,1,1,19,3,4,611,4,1,3,2,1,4,1,4262,4,1,12,3,2,80,2,8,2,4,3,2,1,2
35,2,2,18,4,5,1380,4,2,3,2,3,3,3,4614,0,2,18,3,3,80,1,5,0,2,4,2,3,2
51,2,2,9,3,1,1282,4,1,3,5,8,2,1,19847,4,2,24,4,1,80,1,31,5,2,29,10,11,10
36,1,1,2,3,1,501,4,2,3,1,4,3,3,2543,4,1,13,3,2,80,1,6,3,3,2,2,2,2
26,1,1,1,2,1,1893,2,2,2,1,4,3,3,2933,1,2,13,3,3,80,1,1,3,2,1,0,1,0
23,1,1,12,2,3,1982,4,1,3,1,2,4,2,2647,1,1,13,3,3,80,0,5,6,4,5,2,1,4
39,1,1,9,2,2,1936,1,1,3,2,1,1,3,5151,1,1,25,4,4,80,1,10,3,3,10,0,7,9
47,1,1,9,4,1,1856,2,2,3,1,2,3,2,2105,4,1,12,3,3,80,0,7,2,3,2,2,2,0
26,1,2,23,3,5,72,3,2,2,2,3,4,3,4157,7,2,19,3,3,80,1,5,2,2,2,2,0,0
21,3,2,9,2,2,484,1,1,3,1,6,4,2,2610,1,1,24,4,3,80,0,3,3,2,3,2,2,2
39,1,1,10,1,2,429,3,1,3,4,8,1,3,17068,1,2,14,3,4,80,0,21,3,3,21,9,11,10
35,1,2,18,4,2,1945,2,1,3,2,3,1,3,5561,0,1,16,3,4,80,1,6,2,1,5,3,0,4
30,1,1,1,3,2,1241,4,1,3,1,4,2,3,3579,0,2,21,4,1,80,1,12,2,3,11,9,5,7
34,2,1,16,4,1,838,3,2,2,1,4,4,2,2553,1,1,16,3,3,80,0,6,3,3,5,2,1,3
35,1,1,9,4,1,496,3,1,2,2,5,2,2,6540,9,1,19,3,3,80,0,10,5,3,1,1,0,0
21,1,1,1,1,4,1131,4,2,2,1,4,2,2,2070,1,2,11,3,3,80,0,2,6,4,2,2,2,2
40,2,1,9,4,2,1166,2,2,3,3,7,3,2,13499,9,1,17,3,3,80,0,20,3,2,18,7,2,13
33,1,1,1,5,2,612,1,2,4,4,7,3,1,16184,4,1,19,3,3,80,1,10,2,3,6,1,0,5
43,1,1,2,2,2,46,4,2,4,1,4,3,1,2645,1,1,12,3,4,80,2,6,3,2,5,3,1,4
48,1,1,4,4,1,1024,3,1,2,3,5,3,2,10999,7,1,14,3,2,80,0,27,3,3,15,11,4,8
41,1,1,1,3,1,1999,4,1,3,1,4,4,3,2782,3,1,22,4,1,80,1,12,3,3,5,3,1,0
28,1,2,10,1,2,1056,4,1,3,1,6,2,3,1052,1,1,22,4,2,80,0,1,5,3,1,0,0,0
42,1,1,7,4,2,1292,2,2,4,2,4,2,3,2372,6,2,16,3,4,80,0,18,2,3,1,0,0,0
36,3,1,1,4,2,1662,4,2,2,2,1,3,3,4374,0,1,15,3,3,80,0,4,6,3,3,2,1,2
31,1,1,7,4,2,462,3,2,3,3,1,4,2,7143,1,2,14,3,3,80,0,11,2,2,11,9,4,10
34,1,2,21,4,1,621,4,1,4,2,3,4,2,5337,1,1,12,3,4,80,0,10,3,3,10,7,5,7
31,1,1,12,1,2,246,3,2,3,1,4,4,3,3929,8,2,23,4,3,80,1,7,0,3,4,2,0,2
43,1,1,3,3,1,1255,3,1,1,5,7,4,3,19740,3,1,14,3,2,80,1,25,2,3,8,7,0,7
44,1,1,10,4,3,40,4,1,3,2,5,4,3,6465,2,2,13,3,4,80,0,9,5,4,4,2,1,3
41,3,1,7,1,1,1035,2,2,1,5,7,3,1,19973,1,1,22,4,2,80,2,21,3,3,21,16,5,10
35,2,1,4,4,1,1350,3,1,3,2,4,3,2,4249,1,2,11,3,2,80,0,9,3,3,9,6,1,1
31,2,1,15,3,2,1160,3,1,3,1,2,3,3,2610,1,1,12,3,3,80,1,2,5,2,2,2,2,2
25,1,2,9,2,1,1439,1,1,2,1,6,1,3,4400,3,1,12,3,1,80,0,6,2,3,3,2,2,2
27,1,1,1,2,1,725,3,2,3,3,1,1,3,7412,1,1,11,3,4,80,0,9,3,3,9,7,0,7
31,2,1,7,2,1,442,3,2,2,3,1,3,3,8943,1,1,24,4,1,80,1,10,2,3,10,9,8,9
38,1,1,17,1,1,1088,3,2,2,3,5,3,3,8823,0,1,18,3,1,80,1,20,4,2,19,9,1,9
54,2,1,11,4,2,1520,2,2,3,4,8,4,1,16032,3,1,20,4,1,80,1,26,2,3,14,9,1,12
57,1,1,1,4,2,482,4,1,3,2,5,3,3,6755,2,1,11,3,3,80,0,15,2,3,3,2,1,2
30,3,1,1,1,1,292,3,1,2,3,1,3,2,8474,1,1,22,4,3,80,0,12,2,3,11,8,5,8
37,1,1,1,4,1,635,2,2,3,2,1,2,3,6447,6,1,12,3,2,80,1,8,2,2,6,5,4,3
31,3,2,20,2,5,947,4,2,3,2,3,3,3,6932,1,1,13,3,4,80,1,9,2,2,9,8,0,0
42,1,1,1,2,1,827,4,2,2,2,1,4,3,6062,9,2,13,3,4,80,1,8,4,3,4,3,0,2
46,1,3,1,2,1,1314,4,2,3,1,3,1,2,3423,6,1,12,3,3,80,0,10,3,4,7,6,5,7
42,1,2,8,4,5,35,3,1,3,2,3,2,3,6825,0,1,11,3,4,80,1,10,2,3,9,7,4,2
31,2,2,2,3,1,1379,3,2,2,1,6,4,2,2785,7,1,14,3,3,80,0,3,3,4,1,0,0,0
35,1,1,1,3,2,105,2,1,2,1,4,3,2,2859,1,1,18,3,1,80,0,6,3,3,6,4,0,4
34,1,3,9,4,4,1467,1,2,3,1,3,3,3,2742,1,1,15,3,4,80,0,2,0,3,2,2,2,2
41,3,2,10,2,2,1329,3,1,1,2,3,2,2,6151,1,1,13,3,1,80,0,19,4,3,19,2,11,9
47,2,2,9,3,1,1716,3,1,1,4,3,3,3,12936,7,1,11,3,3,80,0,25,3,1,23,5,14,10
26,1,1,2,1,2,1407,1,1,2,1,4,4,2,3904,0,1,12,3,4,80,0,5,2,3,4,3,1,1
38,1,3,1,3,3,1152,3,1,4,1,3,3,3,2844,1,1,13,3,4,80,1,7,2,4,7,6,5,0
37,1,1,3,3,3,689,3,1,3,3,1,3,3,9434,1,1,15,3,3,80,1,10,2,3,10,7,7,8
40,1,2,9,2,2,1548,1,1,3,2,3,1,3,5473,0,1,12,3,4,80,0,9,5,4,8,4,7,1
52,1,1,2,3,1,316,3,2,2,1,2,4,2,3212,7,1,15,3,2,80,0,6,3,2,2,2,2,2
27,1,2,11,3,2,1364,3,2,4,1,6,4,3,2534,8,1,14,3,2,80,1,5,4,3,1,0,0,0
27,1,1,2,4,4,1931,2,1,3,1,4,2,3,2226,1,1,11,3,3,80,1,6,3,2,5,3,1,2
40,2,1,2,2,2,807,3,2,4,2,5,2,3,4244,1,1,24,4,4,80,1,8,2,3,8,7,3,7
46,1,2,2,3,4,363,3,2,1,4,8,2,3,16872,3,2,12,3,2,80,1,28,2,2,7,7,7,7
28,1,2,3,3,2,1875,2,2,3,1,6,2,3,2856,1,1,19,3,4,80,1,1,3,3,1,0,0,0
58,2,1,15,4,1,1837,1,1,3,4,7,3,3,15787,2,2,14,3,2,80,0,23,3,3,2,2,2,2
37,1,1,21,3,1,267,2,1,4,1,4,1,3,3564,1,2,12,3,1,80,1,8,3,2,8,7,1,7
34,1,1,10,3,1,934,2,1,3,1,2,2,1,2008,1,1,14,3,2,80,2,1,3,3,1,0,1,0
54,1,1,9,2,1,1969,1,2,3,2,4,3,3,2897,3,1,11,3,3,80,2,9,6,2,4,3,2,3
32,1,2,1,2,1,1734,1,1,1,2,3,2,2,6735,6,1,15,3,2,80,0,10,2,3,0,0,0,0
32,1,1,2,4,2,439,1,2,4,2,4,4,2,5055,7,1,16,3,3,80,0,10,0,2,7,7,0,7
34,1,1,1,2,1,649,2,1,2,1,4,4,3,3622,1,2,13,3,4,80,1,6,3,3,6,5,1,3
54,3,3,26,3,3,148,4,2,4,4,8,4,2,17328,2,2,12,3,3,80,0,23,3,3,5,3,4,4
43,2,1,17,3,4,1767,3,1,2,1,4,3,3,2437,9,2,16,3,4,80,1,6,4,3,1,0,0,0
28,1,1,17,3,4,1960,3,1,2,1,2,4,1,2367,5,1,12,3,1,80,1,6,2,2,4,1,0,3
44,1,1,3,4,3,671,4,1,3,5,8,4,3,19513,4,2,12,3,1,80,1,26,2,4,2,2,0,1
33,1,1,5,3,1,1099,4,1,2,3,5,4,1,7119,4,1,15,3,3,80,1,9,2,3,3,2,1,2
36,1,2,13,5,5,1733,2,1,2,2,3,1,1,6134,5,2,13,3,2,80,3,16,3,3,2,2,2,2
38,1,2,10,2,1,2041,1,2,3,2,3,4,3,5343,1,1,11,3,3,80,1,10,1,3,10,7,1,9
